2018-10-11 15:50:42.719[1539240642719] | DEBUG | msgSrv-r   | m.core.rmq.RmqRecvNetworkConnector   - RMQ RECV THREAD: RECV of Network Envelope 1 of 1 for cId:[cId=WCZhHvnjqz_r1-7]
2018-10-11 15:50:42.719[1539240642719] | DEBUG | msgSrv-r   | m.core.rmq.RmqRecvNetworkConnector   - RMQ RECV THREAD: RECV of Message Envelope cId:[cId=WCZhHvnjqz_r1-7]
2018-10-11 15:50:42.719[1539240642719] | TRACE | msgSrv-r   | m.a.c.p.m.c.NetworkConnectorRecvRunnable - Recv Processor's CallbackProcessQueue size: 1
2018-10-11 15:50:42.719[1539240642719] | TRACE | recvDist   | m.a.c.p.m.core.RecvMsgDistRunnable   - RecvMsgDistRunnable's processQueue size: 0
2018-10-11 15:50:42.719[1539240642719] | TRACE | cached-tdl | m.a.c.p.m.core.TradeDataListener     - Trade Data's listener size: 0
2018-10-11 15:50:42.719[1539240642719] | DEBUG | qtp748771005-58 | m.a.c.service.order.OrderService     - clOrdId:jzzcf77PTveGhAjzBZhaXn open:2018-10-11 15:50:42.714 JST afterLimiter:0ms afterRespRecv:5ms
2018-10-11 15:50:42.720[1539240642720] | DEBUG | qtp748771005-58 | m.api.common.server.ApiServerCore    - [FROM]: [114.236.238.230] POST /api/v3/order symbol:1539240640355 side:SELL quantity:0.174696 signature:2e691a8896f99196d77edb8c449303da3fe24843517bbe42e0669c0e19ea4544 price:0.9259 type:LIMIT timeInForce:GTC recvWindow:27 timestamp:1539240642692     [ACCT]: 2|3    [RESP]: 7/10000  proc:8.902956ms  proxy:-9999ms  session:-9ms  httpStatus:200 gzip {"symbol":"1539240640355","orderId":2,"clientOrderId":"jzzcf77PTveGhAjzBZhaXn","transactTime":1539240642714,"price":"0.9259","origQty":"0.174696","executedQty":"0.000000","cummulativeQuoteQty":"0.0000","status":"NEW","timeInForce":"GTC","type":"LIMIT","side":"SELL","fills":[]}
2018-10-11 15:50:42.773[1539240642773] | DEBUG | qtp748771005-58 | m.a.c.p.m.ApiMessagingService        - NEW ORDER clOrdId: 3TMe3rYHiG8KU4Dj4er2GT -> [cId=WCZhHvnjqz_r1-8]
2018-10-11 15:50:42.773[1539240642773] | DEBUG | msgSrv-s0  | m.core.rmq.RmqSendNetworkConnector   - RMQ SEND THREAD: SEND of Network Envelope 1 of 1 for cId:[cId=WCZhHvnjqz_r1-8]
2018-10-11 15:50:42.773[1539240642773] | DEBUG | msgSrv-s0  | m.core.rmq.RmqSendNetworkConnector   - RMQ SEND THREAD: SEND of Message Envelope cId:[cId=WCZhHvnjqz_r1-8] route [] (parts:1) COMPLETE
2018-10-11 15:50:42.773[1539240642773] | DEBUG | msgSrv-s0  | m.a.c.p.m.c.NetworkConnectorSendRunnable - SEND THREAD: cId:[cId=WCZhHvnjqz_r1-8] SENT
2018-10-11 15:50:42.773[1539240642773] | TRACE | msgSrv-s0  | m.a.c.p.m.c.NetworkConnectorSendRunnable - Send thread's send queue size: 0
2018-10-11 15:50:42.778[1539240642778] | DEBUG | msgSrv-r   | m.core.rmq.RmqRecvNetworkConnector   - RMQ RECV THREAD: RECV of Network Envelope 1 of 1 for cId:[cId=WCZhHvnjqz_r1-8]
2018-10-11 15:50:42.778[1539240642778] | DEBUG | msgSrv-r   | m.core.rmq.RmqRecvNetworkConnector   - RMQ RECV THREAD: RECV of Message Envelope cId:[cId=WCZhHvnjqz_r1-8]
2018-10-11 15:50:42.778[1539240642778] | TRACE | msgSrv-r   | m.a.c.p.m.c.NetworkConnectorRecvRunnable - Recv Processor's CallbackProcessQueue size: 1
2018-10-11 15:50:42.778[1539240642778] | TRACE | recvDist   | m.a.c.p.m.core.RecvMsgDistRunnable   - RecvMsgDistRunnable's processQueue size: 0
2018-10-11 15:50:42.778[1539240642778] | TRACE | cached-tdl | m.a.c.p.m.core.TradeDataListener     - Trade Data's listener size: 0
2018-10-11 15:50:42.782[1539240642782] | DEBUG | qtp748771005-58 | m.a.c.service.order.OrderService     - clOrdId:3TMe3rYHiG8KU4Dj4er2GT open:2018-10-11 15:50:42.773 JST afterLimiter:0ms afterRespRecv:9ms
2018-10-11 15:50:42.783[1539240642783] | DEBUG | qtp748771005-58 | m.api.common.server.ApiServerCore    - [FROM]: [114.236.238.230] POST /api/v3/order symbol:1539240640355 side:SELL quantity:0.981044 signature:ea52923bcc2eee74c34013487cb453409a1a6cdc632e13522af247e13e439133 price:0.1495 type:LIMIT timeInForce:GTC recvWindow:33 timestamp:1539240642748     [ACCT]: 2|3    [RESP]: 8/10000  proc:12.487804ms  proxy:-9999ms  session:-13ms  httpStatus:200 gzip {"symbol":"1539240640355","orderId":3,"clientOrderId":"3TMe3rYHiG8KU4Dj4er2GT","transactTime":1539240642773,"price":"0.1495","origQty":"0.981044","executedQty":"0.288495","cummulativeQuoteQty":"0.0635","status":"PARTIALLY_FILLED","timeInForce":"GTC","type":"LIMIT","side":"SELL","fills":[{"price":"0.2202","qty":"0.288495","commission":"0.0000","commissionAsset":"1539240638169","tradeId":1}]}
2018-10-11 15:50:42.841[1539240642841] | DEBUG | qtp748771005-58 | m.a.c.p.m.ApiMessagingService        - NEW ORDER clOrdId: MP9bv32DBrDBpR8Le4vWVi -> [cId=WCZhHvnjqz_r1-9]
2018-10-11 15:50:42.841[1539240642841] | DEBUG | msgSrv-s1  | m.core.rmq.RmqSendNetworkConnector   - RMQ SEND THREAD: SEND of Network Envelope 1 of 1 for cId:[cId=WCZhHvnjqz_r1-9]
2018-10-11 15:50:42.842[1539240642842] | DEBUG | msgSrv-s1  | m.core.rmq.RmqSendNetworkConnector   - RMQ SEND THREAD: SEND of Message Envelope cId:[cId=WCZhHvnjqz_r1-9] route [] (parts:1) COMPLETE
2018-10-11 15:50:42.842[1539240642842] | DEBUG | msgSrv-s1  | m.a.c.p.m.c.NetworkConnectorSendRunnable - SEND THREAD: cId:[cId=WCZhHvnjqz_r1-9] SENT
2018-10-11 15:50:42.842[1539240642842] | TRACE | msgSrv-s1  | m.a.c.p.m.c.NetworkConnectorSendRunnable - Send thread's send queue size: 0
2018-10-11 15:50:42.845[1539240642845] | DEBUG | msgSrv-r   | m.core.rmq.RmqRecvNetworkConnector   - RMQ RECV THREAD: RECV of Network Envelope 1 of 1 for cId:[cId=WCZhHvnjqz_r1-9]
2018-10-11 15:50:42.845[1539240642845] | DEBUG | msgSrv-r   | m.core.rmq.RmqRecvNetworkConnector   - RMQ RECV THREAD: RECV of Message Envelope cId:[cId=WCZhHvnjqz_r1-9]
2018-10-11 15:50:42.845[1539240642845] | TRACE | msgSrv-r   | m.a.c.p.m.c.NetworkConnectorRecvRunnable - Recv Processor's CallbackProcessQueue size: 1
2018-10-11 15:50:42.845[1539240642845] | TRACE | recvDist   | m.a.c.p.m.core.RecvMsgDistRunnable   - RecvMsgDistRunnable's processQueue size: 0
2018-10-11 15:50:42.845[1539240642845] | TRACE | cached-tdl | m.a.c.p.m.core.TradeDataListener     - Trade Data's listener size: 0
2018-10-11 15:50:42.845[1539240642845] | DEBUG | qtp748771005-58 | m.a.c.service.order.OrderService     - clOrdId:MP9bv32DBrDBpR8Le4vWVi open:2018-10-11 15:50:42.841 JST afterLimiter:0ms afterRespRecv:4ms
